Date,Day,NetWorth,Cash,Shares
2019-02-28,66,9385.86858067378,9385.86858067378,0
2019-03-01,67,9385.86858067378,9385.86858067378,0
2019-03-05,68,9385.86858067378,9385.86858067378,0
2019-03-06,69,9385.86858067378,9385.86858067378,0
2019-03-07,70,9385.86858067378,9385.86858067378,0
2019-03-08,71,9385.86858067378,9385.86858067378,0
2019-03-11,72,9385.86858067378,9385.86858067378,0
2019-03-12,73,9385.86858067378,9385.86858067378,0
2019-03-13,74,9385.86858067378,9385.86858067378,0
2019-03-14,75,9385.86858067378,9385.86858067378,0
2019-03-15,76,9385.86858067378,9385.86858067378,0
2019-03-18,77,9385.86858067378,9385.86858067378,0
2019-03-19,78,9385.86858067378,9385.86858067378,0
2019-03-20,79,9385.86858067378,9385.86858067378,0
2019-03-22,80,9385.86858067378,9385.86858067378,0
2019-03-25,81,9385.86858067378,9385.86858067378,0
2019-03-26,82,9385.86858067378,9385.86858067378,0
2019-03-27,83,9385.86858067378,9385.86858067378,0
2019-03-28,84,9385.86858067378,9385.86858067378,0
2019-03-29,85,9385.86858067378,9385.86858067378,0
2019-04-01,86,9385.86858067378,9385.86858067378,0
2019-04-02,87,9385.86858067378,9385.86858067378,0
2019-04-03,88,9385.86858067378,9385.86858067378,0
2019-04-04,89,9385.86858067378,9385.86858067378,0
2019-04-05,90,9385.86858067378,9385.86858067378,0
2019-04-08,91,9385.86858067378,9385.86858067378,0
2019-04-09,92,9385.86858067378,9385.86858067378,0
2019-04-10,93,9385.86858067378,9385.86858067378,0
2019-04-11,94,9385.86858067378,9385.86858067378,0
2019-04-12,95,9385.86858067378,9385.86858067378,0
2019-04-15,96,9385.86858067378,9385.86858067378,0
2019-04-16,97,9385.86858067377,1877.17371613475,4.18484214357954
2019-04-18,98,9339.16574235143,1877.17371613475,4.18484214357954
2019-04-22,99,9031.62169321977,1877.17371613475,4.18484214357954
2019-04-23,100,8908.12700156273,1877.17371613475,4.18484214357954
2019-04-24,101,8932.65017652411,1877.17371613475,4.18484214357954
2019-04-25,102,9002.78813085051,1877.17371613475,4.18484214357954
2019-04-26,103,8921.43479957932,1877.17371613475,4.18484214357954
2019-04-30,104,8588.99093969336,1877.17371613475,4.18484214357954
2019-05-02,105,8502.19731363552,1877.17371613475,4.18484214357954
2019-05-03,106,8424.23370450063,1877.17371613475,4.18484214357954
2019-05-06,107,8284.2507347979,1877.17371613475,4.18484214357954
2019-05-07,108,8215.41008153601,1877.17371613475,4.18484214357954
2019-05-08,109,8156.78044310447,1877.17371613475,4.18484214357954
2019-05-09,110,8065.67642963874,1877.17371613475,4.18484214357954
2019-05-10,111,7976.83223093054,1877.17371613475,4.18484214357954
2019-05-13,112,7831.40896644116,1877.17371613475,4.18484214357954
