Date,Day,NetWorth,Cash,Shares
2019-03-08,71,9968.53327754421,9968.53327754421,0
2019-03-11,72,9968.53327754421,9968.53327754421,0
2019-03-12,73,9968.53327754421,9968.53327754421,0
2019-03-13,74,9968.53327754421,9968.53327754421,0
2019-03-14,75,9968.53327754421,9968.53327754421,0
2019-03-15,76,9968.53327754421,9968.53327754421,0
2019-03-18,77,9968.53327754421,9968.53327754421,0
2019-03-19,78,9968.53327754421,9968.53327754421,0
2019-03-20,79,9968.53327754421,9968.53327754421,0
2019-03-22,80,9968.53327754421,9968.53327754421,0
2019-03-25,81,9968.53327754421,9968.53327754421,0
2019-03-26,82,9968.53327754421,9968.53327754421,0
2019-03-27,83,9968.53327754421,9968.53327754421,0
2019-03-28,84,9968.53327754421,6977.97329428095,1.29790160504449
2019-03-29,85,9974.80214229657,9974.80214229657,0
2019-04-01,86,9974.80214229657,6982.3614996076,1.28949494003308
2019-04-02,87,9943.32557081036,9943.32557081036,0
2019-04-03,88,9943.32557081036,9943.32557081036,0
2019-04-04,89,9943.32557081036,9943.32557081036,0
2019-04-05,90,9943.32557081036,9943.32557081036,0
2019-04-08,91,9943.32557081036,9943.32557081036,0
2019-04-09,92,9943.32557081036,9943.32557081036,0
2019-04-10,93,9943.32557081036,9943.32557081036,0
2019-04-11,94,9943.32557081036,9943.32557081036,0
2019-04-12,95,9943.32557081036,9943.32557081036,0
2019-04-15,96,9943.32557081036,9943.32557081036,0
2019-04-16,97,9943.32557081036,9943.32557081036,0
2019-04-18,98,9943.32557081036,9943.32557081036,0
2019-04-22,99,9943.32557081036,9943.32557081036,0
2019-04-23,100,9943.32557081036,9943.32557081036,0
2019-04-24,101,9943.32557081036,9943.32557081036,0
2019-04-25,102,9943.32557081036,9943.32557081036,0
2019-04-26,103,9943.32557081036,9943.32557081036,0
2019-04-30,104,9943.32557081036,9943.32557081036,0
2019-05-02,105,9943.32557081036,9943.32557081036,0
2019-05-03,106,9943.32557081036,9943.32557081036,0
2019-05-06,107,9943.32557081036,9943.32557081036,0
2019-05-07,108,9943.32557081036,9943.32557081036,0
2019-05-08,109,9943.32557081036,9943.32557081036,0
2019-05-09,110,9943.32557081036,9943.32557081036,0
2019-05-10,111,9943.32557081036,9943.32557081036,0
2019-05-13,112,9943.32557081036,9943.32557081036,0
2019-05-14,113,9943.32557081036,9943.32557081036,0
2019-05-15,114,9943.32557081036,9943.32557081036,0
2019-05-16,115,9943.32557081036,9943.32557081036,0
2019-05-17,116,9943.32557081036,9943.32557081036,0
2019-05-20,117,9943.32557081036,9943.32557081036,0
2019-05-21,118,9943.32557081036,9943.32557081036,0
2019-05-22,119,9943.32557081036,9943.32557081036,0
2019-05-23,120,9943.32557081036,9943.32557081036,0
2019-05-24,121,9943.32557081036,9943.32557081036,0
2019-05-27,122,9943.32557081036,9943.32557081036,0
2019-05-28,123,9943.32557081036,9943.32557081036,0
2019-05-29,124,9943.32557081036,6960.32789956726,1.23198185736716
2019-05-30,125,9961.23858701648,9961.23858701648,0
2019-05-31,126,9961.23858701648,6972.86701091154,1.22668805692017
2019-06-03,127,9975.0510945374,9975.0510945374,0
2019-06-04,128,9975.0510945374,6982.53576617618,1.21896704156533
2019-06-06,129,9957.26636540097,9957.26636540097,0
2019-06-07,130,9957.26636540097,9957.26636540097,0
2019-06-10,131,9957.26636540097,9957.26636540097,0
2019-06-11,132,9957.26636540097,6970.08645578068,1.21952092069725
2019-06-12,133,9936.46133849387,9936.46133849387,0
2019-06-13,134,9936.46133849387,9936.46133849387,0
2019-06-14,135,9936.46133849387,9936.46133849387,0
2019-06-17,136,9936.46133849387,9936.46133849387,0
2019-06-18,137,9936.46133849387,9936.46133849387,0
2019-06-19,138,9936.46133849387,9936.46133849387,0
2019-06-20,139,9936.46133849387,9936.46133849387,0
2019-06-21,140,9936.46133849387,9936.46133849387,0
2019-06-24,141,9936.46133849387,9936.46133849387,0
2019-06-25,142,9936.46133849387,9936.46133849387,0
2019-06-26,143,9936.46133849387,9936.46133849387,0
2019-06-27,144,9936.46133849387,6955.52293694571,1.20571539575793
2019-06-28,145,9911.27394387649,9911.27394387649,0
2019-07-01,146,9911.27394387649,6937.89176071354,1.20084253463658
2019-07-02,147,9921.37302959278,9921.37302959278,0
2019-07-03,148,9921.37302959278,6944.96112071495,1.19223389099853
2019-07-04,149,9906.61317402222,9906.61317402222,0
2019-07-05,150,9906.61317402222,6934.62922181555,1.19930428362435
2019-07-08,151,9841.76679140665,9841.76679140665,0
2019-07-09,152,9841.76679140665,9841.76679140665,0
2019-07-10,153,9841.76679140665,9841.76679140665,0
2019-07-11,154,9841.76679140665,9841.76679140665,0
2019-07-12,155,9841.76679140665,9841.76679140665,0
2019-07-15,156,9841.76679140665,9841.76679140665,0
2019-07-16,157,9841.76679140665,9841.76679140665,0
2019-07-17,158,9841.76679140665,6889.23675398466,1.22914534674743
2019-07-18,159,9860.3023032356,9860.3023032356,0
2019-07-19,160,9860.3023032356,9860.3023032356,0
2019-07-22,161,9860.3023032356,9860.3023032356,0
2019-07-23,162,9860.3023032356,9860.3023032356,0
2019-07-24,163,9860.3023032356,9860.3023032356,0
2019-07-25,164,9860.3023032356,9860.3023032356,0
2019-07-26,165,9860.3023032356,9860.3023032356,0
2019-07-29,166,9860.3023032356,9860.3023032356,0
2019-07-30,167,9860.3023032356,9860.3023032356,0
2019-07-31,168,9860.3023032356,9860.3023032356,0
2019-08-01,169,9860.3023032356,9860.3023032356,0
2019-08-02,170,9860.3023032356,9860.3023032356,0
2019-08-05,171,9860.3023032356,9860.3023032356,0
2019-08-06,172,9860.3023032356,9860.3023032356,0
2019-08-07,173,9860.3023032356,9860.3023032356,0
2019-08-08,174,9860.3023032356,9860.3023032356,0
2019-08-09,175,9860.3023032356,9860.3023032356,0
2019-08-13,176,9860.3023032356,9860.3023032356,0
2019-08-14,177,9860.3023032356,9860.3023032356,0
2019-08-16,178,9860.3023032356,6902.21161226492,1.33110021238033
