Date,Day,NetWorth,Cash,Shares
2019-03-08,71,9900.36884135611,9900.36884135611,0
2019-03-11,72,9900.36884135611,9900.36884135611,0
2019-03-12,73,9900.36884135611,9900.36884135611,0
2019-03-13,74,9900.36884135611,9900.36884135611,0
2019-03-14,75,9900.36884135611,9900.36884135611,0
2019-03-15,76,9900.36884135611,9900.36884135611,0
2019-03-18,77,9900.36884135611,9900.36884135611,0
2019-03-19,78,9900.36884135611,9900.36884135611,0
2019-03-20,79,9900.36884135611,9900.36884135611,0
2019-03-22,80,9900.36884135611,9900.36884135611,0
2019-03-25,81,9900.36884135611,9900.36884135611,0
2019-03-26,82,9900.36884135611,9900.36884135611,0
2019-03-27,83,9900.36884135611,9900.36884135611,0
2019-03-28,84,9900.36884135611,9900.36884135611,0
2019-03-29,85,9900.36884135611,9900.36884135611,0
2019-04-01,86,9900.36884135611,9900.36884135611,0
2019-04-02,87,9900.36884135611,9900.36884135611,0
2019-04-03,88,9900.36884135611,9900.36884135611,0
2019-04-04,89,9900.36884135611,9900.36884135611,0
2019-04-05,90,9900.36884135611,9900.36884135611,0
2019-04-08,91,9900.36884135611,9900.36884135611,0
2019-04-09,92,9900.36884135611,9900.36884135611,0
2019-04-10,93,9900.36884135611,9900.36884135611,0
2019-04-11,94,9900.36884135611,9900.36884135611,0
2019-04-12,95,9900.36884135611,9900.36884135611,0
2019-04-15,96,9900.36884135611,9900.36884135611,0
2019-04-16,97,9900.36884135611,9900.36884135611,0
2019-04-18,98,9900.36884135611,9900.36884135611,0
2019-04-22,99,9900.36884135611,9900.36884135611,0
2019-04-23,100,9900.36884135611,9900.36884135611,0
2019-04-24,101,9900.36884135611,9900.36884135611,0
2019-04-25,102,9900.36884135611,9900.36884135611,0
2019-04-26,103,9900.36884135611,9900.36884135611,0
2019-04-30,104,9900.36884135611,9900.36884135611,0
2019-05-02,105,9900.36884135611,9900.36884135611,0
2019-05-03,106,9900.36884135611,9900.36884135611,0
2019-05-06,107,9900.36884135611,9900.36884135611,0
2019-05-07,108,9900.36884135611,9900.36884135611,0
2019-05-08,109,9900.36884135611,9900.36884135611,0
2019-05-09,110,9900.36884135611,9900.36884135611,0
2019-05-10,111,9900.36884135611,9900.36884135611,0
2019-05-13,112,9900.36884135611,9900.36884135611,0
2019-05-14,113,9900.36884135611,9900.36884135611,0
2019-05-15,114,9900.36884135611,9900.36884135611,0
2019-05-16,115,9900.36884135611,9900.36884135611,0
2019-05-17,116,9900.36884135611,9900.36884135611,0
2019-05-20,117,9900.36884135611,9900.36884135611,0
2019-05-21,118,9900.36884135611,9900.36884135611,0
2019-05-22,119,9900.36884135611,9900.36884135611,0
2019-05-23,120,9900.36884135611,9900.36884135611,0
2019-05-24,121,9900.36884135611,9900.36884135611,0
2019-05-27,122,9900.36884135611,9900.36884135611,0
2019-05-28,123,9900.36884135611,9900.36884135611,0
2019-05-29,124,9900.36884135611,9900.36884135611,0
2019-05-30,125,9900.36884135611,9900.36884135611,0
2019-05-31,126,9900.36884135611,9900.36884135611,0
2019-06-03,127,9900.36884135611,9900.36884135611,0
2019-06-04,128,9900.36884135611,9900.36884135611,0
2019-06-06,129,9900.36884135611,9900.36884135611,0
2019-06-07,130,9900.36884135611,9900.36884135611,0
2019-06-10,131,9900.36884135611,9900.36884135611,0
2019-06-11,132,9900.36884135611,9900.36884135611,0
2019-06-12,133,9900.36884135611,9900.36884135611,0
2019-06-13,134,9900.36884135611,9900.36884135611,0
2019-06-14,135,9900.36884135611,9900.36884135611,0
2019-06-17,136,9900.36884135611,9900.36884135611,0
2019-06-18,137,9900.36884135611,9900.36884135611,0
2019-06-19,138,9900.36884135611,9900.36884135611,0
2019-06-20,139,9900.36884135611,9900.36884135611,0
2019-06-21,140,9900.36884135611,7920.29507308489,1.32154693203712
2019-06-24,141,9866.99978132217,7920.29507308489,1.32154693203712
2019-06-25,142,9872.47098562081,7920.29507308489,1.32154693203712
2019-06-26,143,9884.29883066254,7920.29507308489,1.32154693203712
2019-06-27,144,9890.53653218175,7920.29507308489,1.32154693203712
2019-06-28,145,9874.95549385304,7920.29507308489,1.32154693203712
2019-07-01,146,9873.96433365401,7920.29507308489,1.32154693203712
